AUTOPISTA;BANDA y/o RAMAL;PK;CONDICIONES METEOROLOGICAS;SUPERFICIE DE LA VIA;LESIONADOS;FALLECIDOS;TIPO DE SINIESTRO;MOTO;LVIANO;BUS;CAMION;FECHA_AÑO;FECHA_MES;FECHA_DIA;FECHA_HORA;FECHA_DIASEMANA
AU DELLEPIANE;DESCENDENTE;800.0;BUENO;OTRA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2022;6;20;20;Lunes
AU PERITO MORENO;DESCENDENTE;4000.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;1;2022;6;21;13;Martes
AU DELLEPIANE;DESCENDENTE;300.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0;2022;6;21;14;Martes
AU 25 DE MAYO;DESCENDENTE;5200.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;1;2022;6;21;18;Martes
AU PERITO MORENO;DESCENDENTE;5700.0;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;0;0;1;2022;6;23;10;Jueves
AU 25 DE MAYO;DESCENDENTE;3500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2022;6;23;21;Jueves
AU 25 DE MAYO;ASCENDENTE;0.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2022;6;24;10;Viernes
AV. CANTILO;ASCENDENTE;8000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2022;6;24;15;Viernes
AU PERITO MORENO;ASCENDENTE;3500.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2022;6;24;15;Viernes
AU FRONDIZI;DESCENDENTE;2000.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0;2022;6;24;22;Viernes
AU ILLIA;DESCENDENTE;2500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;6;25;18;Sábado
AU PERITO MORENO;ASCENDENTE;2900.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;6;25;19;Sábado
AU PERITO MORENO;ASCENDENTE;3000.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;4;0;0;2022;6;27;6;Lunes
AU PERITO MORENO;DESCENDENTE;3000.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;7;0;0;2022;6;27;19;Lunes
AV. CANTILO;ASCENDENTE;8800.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2022;6;27;21;Lunes
AU ILLIA;DESCENDENTE;1600.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;6;28;10;Martes
AU 25 DE MAYO;DESCENDENTE;3600.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;1;0;2022;6;28;19;Martes
AU 25 DE MAYO;ASCENDENTE;4700.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2022;6;29;7;Miércoles
AU DELLEPIANE;ASCENDENTE;3700.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;4;0;0;2022;6;29;10;Miércoles
AU DELLEPIANE;ASCENDENTE;3100.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2022;6;29;14;Miércoles
AU PERITO MORENO;DESCENDENTE;500.0;BUENO;OTRA;0;0;OBSTACULO NO FIJO;0;3;0;0;2022;6;30;7;Jueves
AU PERITO MORENO;DESCENDENTE;1300.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;2;0;1;2022;6;30;15;Jueves
AU FRONDIZI;DESCENDENTE;2300.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;1;2022;8;1;11;Lunes
AU PERITO MORENO;DESCENDENTE;400.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;8;2;3;Martes
AV. LUGONES;DESCENDENTE;9800.0;BUENO;MOJADA/HUMEDA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0;2022;8;3;10;Miércoles
AV. CANTILO;ASCENDENTE;7600.0;BUENO;MOJADA/HUMEDA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;3;12;Miércoles
AU 25 DE MAYO;ASCENDENTE;2800.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;4;7;Jueves
AU DELLEPIANE;ASCENDENTE;4400.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;4;13;Jueves
AU FRONDIZI;DESCENDENTE;2100.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1;2022;8;4;16;Jueves
